SN,Program,Type,Author By,Title,Link to Article,Link,Published Date,Updated By,Column1
1,CPAP,Plan,Joint,Country Programme Action Plan (2018-2022),https://www.unicef.org/nepal/media/191/file/CPAP%202018-2022.pdf,Country Programme Action Plan (2018-2022),2018,,
2,,Report,Joint,Report on Employment Relationships in the Brick Industry in Nepal,https://www.unicef.org/nepal/media/11896/file/Employment%20Relationships%20in%20the%20Brick%20Industry%20in%20Nepal%20.pdf,Report on Employment Relationships in the Brick Industry in Nepal,2020,,
3,MICS,Report,UNICEF SPEE,Multiple Indicator Cluster Survey Final Report 2019,https://www.unicef.org/nepal/media/11081/file/Nepal%20MICS%202019%20Final%20Report.pdf,Multiple Indicator Cluster Survey Final Report 2019,2019,,
4,MICS,Report,UNICEF SPEE,Baseline - COVID-19 child and family tracker: Findings,https://www.unicef.org/nepal/media/9451/file/COVID-19%20Child%20and%20Family%20Tracker.pdf,Baseline - COVID-19 child and family tracker: Findings,2020,,
5,CFT,Report,UNICEF SPEE,July - COVID-19 child and family tracker: Findings,https://www.unicef.org/nepal/media/9971/file/Child%20and%20Family%20Tracker%20-%20July%202020%20Findings.pdf,July - COVID-19 child and family tracker: Findings,2020,,
6,CFT,Report,UNICEF SPEE,August - COVID-19 child and family tracker: Findings,https://www.unicef.org/nepal/media/10501/file/UNICEF%20Child%20and%20Family%20Tracker%20-%20August%202020.pdf,August - COVID-19 child and family tracker: Findings,2020,,
7,CFT,Report,UNICEF SPEE,October - COVID-19 child and family tracker: Findings,https://www.unicef.org/nepal/media/11026/file ,October - COVID-19 child and family tracker: Findings,2020,,
8,CFT,Report,UNICEF SPEE,December - COVID-19 child and family tracker: Findings,https://www.unicef.org/nepal/media/11996/file,December - COVID-19 child and family tracker: Findings,2020,,
9,Grant,Report,UNICEF,Benefits of Nepal’s Child Grant for current and future generations,https://www.unicef.org/nepal/media/2441/file/Benefits%20of%20Nepal%E2%80%99s%20Child%20Grant%20for%20current%20and%20future%20generations.pdf,Benefits of Nepal’s Child Grant for current and future generations,2016,,
10,NLHS,Report,CBS,Nepal Labor Force Survey -2017,https://nada.cbs.gov.np/index.php/ddibrowser/88/export/?format=pdf&generate=yes,Nepal Labor Force Survey -2017,2017,,
11,,Report,CBS,Nepal - Annual Household Survey 2012-2013,https://nada.cbs.gov.np/index.php/ddibrowser/49/export/?format=pdf&generate=yes,Nepal - Annual Household Survey 2012-2013,2013,,
12,,Report,CBS,Nepal - Annual Household Survey 2013-2014,https://nada.cbs.gov.np/index.php/ddibrowser/52/export/?format=pdf&generate=yes,Nepal - Annual Household Survey 2013-2014,2014,,
13,,Report,CBS,Nepal - Annual Household Survey 2014-2015,https://nada.cbs.gov.np/index.php/ddibrowser/66/export/?format=pdf&generate=yes,Nepal - Annual Household Survey 2014-2015,2015,,
14,,Report,CBS,Nepal - Annual Household Survey 2015-2016,https://nada.cbs.gov.np/index.php/ddibrowser/85/export/?format=pdf&generate=yes,Nepal - Annual Household Survey 2015-2016,2016,,
15,,Report,CBS,"Nepal - Nepal Labour Force Survey 1998-1999, First Round",https://nada.cbs.gov.np/index.php/ddibrowser/1/export/?format=pdf&generate=yes,"Nepal - Nepal Labour Force Survey 1998-1999, First Round",1999,,
16,,Report,CBS,"Nepal - Nepal Labour Force Survey 2008, Second Round",https://nada.cbs.gov.np/index.php/ddibrowser/2/export/?format=pdf&generate=yes,"Nepal - Nepal Labour Force Survey 2008, Second Round",2008,,
17,,Report,CBS,"Nepal - Nepal Labour Force Survey 2017-2018, Third Round",https://nada.cbs.gov.np/index.php/ddibrowser/88/export/?format=pdf&generate=yes,"Nepal - Nepal Labour Force Survey 2017-2018, Third Round",2018,,
18,,Report,CBS,"Nepal - Nepal Living Standards Survey 1995-1996, NLSS First",https://nada.cbs.gov.np/index.php/ddibrowser/7/export/?format=pdf&generate=yes,"Nepal - Nepal Living Standards Survey 1995-1996, NLSS First",1996,,
19,,Report,CBS,"Nepal - Nepal Living Standards Survey 2003-2004, NLSS Second",https://nada.cbs.gov.np/index.php/ddibrowser/9/export/?format=pdf&generate=yes,"Nepal - Nepal Living Standards Survey 2003-2004, NLSS Second",2004,,
20,,Report,CBS,"Nepal - Nepal Living Standards Survey 2010-2011, NLSS Third",https://nada.cbs.gov.np/index.php/ddibrowser/37/export/?format=pdf&generate=yes,"Nepal - Nepal Living Standards Survey 2010-2011, NLSS Third",2011,,
21,,Report,CBS,Multi-sector Nutrition Plan For Accelerated Reduction of Maternal and Child Under-nutrition in Nepal 2013-2017,https://www.npc.gov.np/images/category/MSNP_english.pdf,Multi-sector Nutrition Plan For Accelerated Reduction of Maternal and Child Under-nutrition in Nepal 2013-2017,2017,,
22,,Dashboard,CBS,Province Level SDG Dashboard,https://dataviz.worldbank.org/views/ProvincialSDGDashboardv8/Province?iframeSizedToWindow=true&:embed=y&:showAppBanner=false&:display_count=no&:showVizHome=no,Province Level SDG Dashboard,2020,,
23,,Plan,NPC,Annual Development Program (FY 2077/2078),https://www.npc.gov.np/images/category/ADP.pdf,Annual Development Program (FY 2077/2078),2021,,
24,,Plan,NPC,Annual Development Program 2076/2077,https://www.npc.gov.np/images/category/ADP_2076.pdf,Annual Development Program 2076/2077,2020,,
25,,Plan,NPC,Annual Development Programme 2075/2076,https://www.npc.gov.np/images/category/Part_1_final.pdf,Annual Development Programme 2075/2076,2019,,
26,,Plan,NPC,Annual Development Programme 2074/2075,https://www.npc.gov.np/images/category/part1_7475_web.pdf,Annual Development Programme 2074/2075,2018,,
27,,Plan,NPC,Annual Development Programme 2073/2074,https://www.npc.gov.np/images/category/Part-one-2073-06-08.pdf,Annual Development Programme 2073/2074,2017,,
28,,Plan,NPC,Annual Development Programs 2072/73,https://www.npc.gov.np/images/category/very_final_press_part1_web.pdf,Annual Development Programs 2072/73,2016,,
29,,Plan,NPC,Annual Development Programs 2071/72 (Part-1),https://www.npc.gov.np/images/category/Annual_Development_Programs_2071-72.pdf,Annual Development Programs 2071/72 (Part-1),2015,,
30,,Plan,NPC,Annual Development Programs and Budget Allocation in the Districts 2071/72,https://www.npc.gov.np/images/category/bhag2071-72_grand_final.pdf,Annual Development Programs and Budget Allocation in the Districts 2071/72,2014,,
31,,Plan,NPC,Annual Development Programs 2070/71 (Part-1),https://www.npc.gov.np/images/category/YDPfy_2070_71.pdf,Annual Development Programs 2070/71 (Part-1),2013,,
32,,Plan,NPC,Annual Development Programs and Budget Allocation in the Districts 2070/71,https://www.npc.gov.np/images/category/spart27071.pdf,Annual Development Programs and Budget Allocation in the Districts 2070/71,2013,,
33,,Plan,NPC,Annual Development Programs 2068/69 (Part-1),https://www.npc.gov.np/images/category/YDPPart1068-69.pdf,Annual Development Programs 2068/69 (Part-1),2011,,
34,,Plan,NPC,Annual Development Programs and Budget Allocation in the Districts 2068/69,https://www.npc.gov.np/images/category/YDPPart2068-69.pdf,Annual Development Programs and Budget Allocation in the Districts 2068/69,2011,,
35,,Plan,NPC,Annual Development Programs 2067/68 (Part-1),https://www.npc.gov.np/images/category/YDPPart1_067_68.pdf,Annual Development Programs 2067/68 (Part-1),2010,,
36,,Plan,NPC,Annual Development Programs and Budget Allocation in the Districts 2067/68,https://www.npc.gov.np/images/category/YDPpart2_067_68.pdf,Annual Development Programs and Budget Allocation in the Districts 2067/68,2009,,
37,,Plan,MOE,SSDP Nepali,"https://moe.gov.np/assets/uploads/files/SSDP_Book_Nepali_July_5,_20171.pdf",SSDP Nepali,2017,,
38,,,,,,,,,
39,,,,,,,,,
40,,,,,,,,,
41,,,,,,,,,
42,,,,,,,,,
43,,,,,,,,,
44,,,,,,,,,
45,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
